het_1_14 allege%2:32:00::
het_2_13 coolly%4:02:00::
het_4_11 orifice%1:08:00::
het_5_5 gnu%1:05:00::
het_7_6 harry%2:30:00::
het_9_6 step%1:06:00::
het_11_13 archly%4:02:00::
het_12_12 hertz%1:28:00::
het_13_24 dye%2:30:00::
het_15_3 sleep_together%2:35:00::
het_16_11 maid%1:18:00::
het_17_7 wittingly%4:02:00::
het_19_16 octave%1:10:01::
het_22_17 punctually%4:02:00::
het_24_6 psalm%2:36:00::
het_25_7 thickly%4:02:04::
het_28_10 sole%2:30:00::
het_31_14 hostel%1:06:01::
het_33_24 treaty%1:10:00::
het_34_16 knotty%5:00:00:tangled:00
het_35_14 humorlessly%4:02:00::
het_36_17 presciently%4:02:00::
het_38_13 lute%1:27:00::
het_39_15 jell%2:30:00::
het_40_6 hart%1:05:00::
het_42_11 mutter%1:11:00::
het_43_10 bovine%1:05:00::
het_45_8 era%1:28:01::
het_46_10 reptile%1:05:00::
het_47_8 quart%1:23:02::
het_49_8 lint%1:06:00::
het_51_11 temper%1:12:00::
het_54_29 offal%1:13:00::
het_55_11 bum%5:00:00:inferior:02
het_56_7 voyage%2:38:00::
het_58_14 mine%2:33:00::
het_59_13 frog%1:05:00::
het_60_16 candy%1:13:00::
het_62_13 mansion%1:06:00::
het_64_16 bark%2:30:00::
het_65_18 throng%2:38:00::
het_66_8 paneling%1:06:00::
het_67_7 trap%1:08:00::
het_69_14 stiltedly%4:02:00::
het_70_27 sari%1:06:00::
het_71_14 cash%2:40:00::
het_72_4 pasta%1:13:00::
het_73_13 glowingly%4:02:00::
het_74_13 caustically%4:02:00::
het_75_17 petal%1:20:00::
het_77_5 knotty%5:00:00:tangled:00
het_78_7 vinyl%1:27:01::
het_82_11 rabid%3:01:00::
het_86_10 clothed%3:00:00::
het_87_12 juggler%1:18:00::
het_90_6 muse%1:09:00::
het_92_8 meat%1:13:01::
het_94_7 ripple%2:39:00::
het_95_19 shoulder%1:08:00::
het_96_9 cotton%2:37:00::
het_99_12 source%2:31:00::
het_100_7 lion%1:18:00::
het_101_16 seriously%4:02:00::
het_102_6 mail%2:32:00::
het_104_5 pensive%5:00:00:sad:00
het_106_15 cur%1:18:00::
het_107_8 think_of%2:31:01::
het_108_14 well%4:02:03::
het_111_8 gilt%1:06:00::
het_112_11 minoxidil%1:06:00::
het_113_13 compliment%2:32:01::
het_116_7 redaction%1:04:00::
het_117_31 iris%1:06:00::
het_119_7 son%1:18:01::
het_121_15 prompt%2:32:01::
het_122_7 mane%1:08:01::
het_123_15 boulder%1:17:00::
het_124_12 pigeon%1:05:00::
het_125_7 plague%1:26:01::
het_126_40 lodger%1:18:00::
het_129_12 doggedly%4:02:00::
het_131_17 philately%1:04:00::
het_133_9 taut%5:00:00:tense:01
het_134_16 feat%1:04:00::
het_137_24 stoma%1:20:01::
het_138_18 leaf%1:20:00::
het_140_14 synergy%1:22:00::
het_141_6 cosine%1:24:00::
het_144_4 cymbal%1:06:00::
het_145_14 bellow%2:32:01::
het_148_5 flippantly%4:02:00::
het_149_7 reflectively%4:02:00::
het_150_9 pier%1:06:00::
het_153_13 steak%1:13:00::
het_154_15 presciently%4:02:00::
het_156_2 pistol%1:06:00::
het_157_4 freud%1:18:00::
het_158_7 whine%2:32:00::
het_159_13 hostel%1:06:01::
het_162_5 suite%1:06:00::
het_165_18 sporadically%4:02:00::
het_166_26 capitol%1:06:00::
het_168_10 monet%1:18:00::
het_172_20 scrape%2:35:00::
het_174_7 weak%5:00:00:stupid:00
het_177_7 granite%1:27:00::
het_179_17 uphold%2:32:02::
het_181_23 graciously%4:02:00::
het_183_14 tee%2:35:01::
