hom_2_9 write%2:32:03:: place%2:32:00::
hom_3_7 sting%2:37:00:: abuse%2:30:02::
hom_4_5 impinge%2:41:10:: shovel%1:06:02::
hom_5_15 forge%2:38:01:: in_the_lead%4:02:00::
hom_7_14 hit%1:04:02:: hit%2:32:12::
hom_8_17 vault%2:38:00:: worn_out%5:00:00:tired:00
hom_9_11 cryptic%5:00:00:inexplicable:00 jockey%2:33:01::
hom_10_13 pin%1:06:01:: clasp%2:35:03::
hom_11_9 solve%2:31:00:: cream%2:30:00::
hom_14_14 admit%2:42:03:: admit%2:42:03::
hom_15_15 toast%2:34:00:: party%2:41:00::
hom_16_13 plant%2:31:00:: handler%1:18:00::
hom_18_8 square%1:25:00:: geometry%1:09:00::
hom_19_3 dangerous%5:00:00:critical:03 situation%1:04:00::
hom_20_17 wall_socket%1:06:00:: paint_a_picture%2:32:00::
hom_21_9 absorb%2:35:00:: creative_person%1:18:00::
hom_22_15 take_a_hit%2:34:12:: disperse%2:35:00::
hom_23_7 combustion%1:22:00:: question%2:32:02::
hom_26_15 go%1:28:00:: disaster%1:04:00::
hom_27_10 bounce%2:40:01:: jump_shot%1:04:00::
hom_28_5 stroke%1:04:00:: get%2:29:00::
hom_30_8 spurt%2:38:01:: embrocate%2:29:00::
hom_31_12 raft%2:36:00:: raft%2:36:00::
hom_34_15 coach%2:38:00:: railway%1:06:01::
hom_38_9 unwrap%2:32:00:: status%1:26:01::
hom_39_20 level%1:09:00:: encounter%2:40:00::
hom_43_8 case%1:06:00:: sales_rep%1:18:00::
hom_44_12 stove%1:06:01:: singing%5:00:00:melodious:00
hom_45_6 part%1:10:00:: part%2:35:01::
hom_46_9 concenter%2:31:00:: sharpen%2:30:03::
hom_47_13 groundbreaking%1:04:00:: historical%3:00:04::
hom_48_10 blanket%1:06:00:: wrap_up%2:29:00::
hom_50_9 taste%1:13:00:: rust%2:30:01::
hom_51_8 worn_spot%1:07:00:: live%2:42:07::
hom_52_19 still%1:06:01:: king_arthur%1:18:00::
hom_53_8 patent%2:40:00:: lie%2:38:00::
hom_55_12 see%2:39:11:: fish%2:33:00::
hom_58_15 foot%2:40:00:: invoice%2:40:00::
hom_61_10 irrational_number%1:23:00:: irrational%3:01:00::
hom_62_9 land%2:40:00:: stair%1:06:00::
hom_63_10 premise%2:31:00:: premiss%2:31:00::
hom_67_15 bar%1:06:07:: alcohol%1:27:00::
hom_70_9 elasticity%1:07:00:: passing%4:02:00::
hom_71_21 sprinkle%2:30:00:: besprinkle%2:30:00::
hom_72_10 staff%1:14:00:: faculty%1:14:00::
hom_74_9 energy%1:19:01:: employee%1:18:00::
hom_75_13 book%2:31:00:: set-aside%5:00:00:reserved:02
hom_76_7 count%2:31:02:: mathematician%1:18:00::
hom_77_14 remainder%1:24:00:: catch_a_wink%2:29:00::
hom_78_18 crunch%1:26:00:: break_off%2:35:00::
hom_80_5 spurt%2:38:01:: whale%2:33:00::
hom_82_6 makeover%1:04:01:: william_ashley_sunday%1:18:00::
hom_83_4 retort%2:32:00:: tom_turkey%1:05:00::
hom_85_15 stand%2:42:04:: slip%2:31:00::
hom_86_20 record%2:32:01:: record%2:31:00::
